Report Date,2025-11-25 14:31 EST

Product,Author,Collection,ISBN,Available,OL Sales,POS Sales,Attributes,Notes
Sourdough Panettone and Viennoiserie,Thomas Teffri-Chambelland,Professional Baking and Pastry Cookbooks,9782957261116,834,2,0,,
The Food of Sicily: Recipes from a Sun-Drenched Culinary Crossroads,Fabrizia Lanza,International & Ethnic Cookbooks,9781579659868,1,1,0,,
Homestyle Puerto Rican Cooking: Traditional Recipes With a Modern Touch (hardcover),Erisbella Garringa,"American Regional, Everyday Cooking",9780976208891,7,1,0,,
Rice the Italian Way,ItaliaSquisita,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Single Subject, Uncommon Finds",9781281296114,19,1,0,,
Williams-sonoma Muffins,Williams Sonoma,,9780743253963,0,0,1,,
With Love and Babka: 50 Sweet and Savory Recipes for Everyone's Favorite Braided Bread,Elana Pearlman,Home Baking & Dessert Books,9781668051085,1,0,1,,
The Art of Gluten-Free Bread: Groundbreaking Recipes for Artisanal Breads and Pastries,Aran Goyoaga,"Healthy & Special Diet, Home Baking & Dessert Books",9781648292026,4,0,1,,
Franco Pepe: Pizza Chef,Franco Pepe,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Books Our Customers Love",9781837290611,7,0,1,,
"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City",Katie Parla,"International & Ethnic Cookbooks, Signed Books",9798986997650,7,0,1,,
Atelier September: A Place for Daytime Cooking,Frederik Bille Brahe,International & Ethnic Cookbooks,9788409557776,3,0,1,,
Entertaining,Martha Stewart,Single Subject,9798217034871,5,0,1,,
The Art of Pasta 1000 Piece Puzzle with Shaped Pieces,Lucy Schaeffer Galison,Puzzles & Merch,9780735376953,1,0,1,,
The Meat Teacher Cookbook,Matt Groark,Single Subject,9780063288416,0,0,1,,
Mystery Meat Mini Puzzle,,Puzzles & Merch,9781797231822,2,0,1,,
The Long Loaf: Bread For All Days,Andrew Barton,Home Baking & Dessert Books,9781736046920,4,1,0,,
Hiakai: Modern Maori Cuisine,Monique Faso,Professional Chef and Restaurant Books,9780143772606,4,0,1,,
The Next Dessert,"Park Yoon-Seon, editor",Professional Baking and Pastry Cookbooks,979119285521913590,4,1,0,,
Ferment: Simple Recipes from My Multicultural Kitchen,Kenji Morimoto,Single Subject,9798893030778,6,0,1,,
Maple Syrup:  A Short History of Canada's Sweetest Obsession,Peter Kuitenbrouwer,Food History and Scholarship Books,9780385698184,2,0,1,,
The Best American Food and Travel Writing 2025,"Bryant Terry and Jaya Saxena, editors",,9780063464681,1,0,1,,
The Fishwife Cookbook: Delightful Tinned Fish Recipes for Every Occasion,Becca Millstein and Vilda Gonzalez,Single Subject,9780063382527,1,0,1,,
"The Magic of Tinned Fish: Elevate your Cooking with Canned Anchovies, Sardines, Mackerel, Crab, and Other Amazing Seafood",Chris McDade,Single Subject,9781579659370,1,0,1,,
Blueberries for Sal Cookbook: Sweet Recipes Inspired by the Beloved Children's Classic,Robert McCloskey,"Home Baking & Dessert Books, Kids' Books, Gifts Under $25.00",9780593580400,5,0,1,,
The Irish Bakery,Cherie Denham and Kitty Corrigan,"Home Baking & Dessert Books, Books Our Customers Love",9781399959971,15,1,0,,
Catalogued Ideas and Random Thoughts: A Cookbook,Stuart Ralston,Professional Chef and Restaurant Books,9781739174019,2,0,1,,
The Sportsman at Home: Flavoursome Recipes for Nostalgic Eating,Stephen Harris,Everyday Cooking,9781837834440,3,0,1,,
"Slow Food, Fast Cars: Casa Maria Luigia - Stories and Recipes","Massimo Bottura, Lara Gilmore, and Jessica Rosval","Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9781838667245,1,0,1,,
Baking and the Meaning of Life: How to Find Joy in 100 Recipes,Helen Goh,"Home Baking & Dessert Books, Signed Books",9781419787621,4,0,1,,
The Ice Cream Grammar,Alessio Piantanida,Professional Baking and Pastry Cookbooks,9781399915793,1,0,1,,
A Child of the Rice Fields: Recipes from Noi's Lao Kitchen,"Ponpailin ""Noi"" Kaewduangdee and Mick Shippen","International & Ethnic Cookbooks, Books Our Customers Love, Uncommon Finds",9789932012176,15,0,1,,
