Report Date,2025-12-18 00:29 EST
Window: Dec 17 2025 10:00 AM ET → Dec 18 2025 09:59 AM ET

Product,Author,Vendor,ISBN,Price,Collection,On Hand,Incoming Inv,Attributes,Notes
Andy Warhol Bookmark,,CHR,9780735384620,6.99,Gifts Under $25.00,5,0,,
The Anthony Bourdain Reader,Anthony Bourdain,ECCO,9780062863959,40.0,Good Reads,7,0,,
Apollo: State-of-the-art Cooking and a Party,Frederik Bille Brahe,Apartamento,9788409783076,85.0,Professional Chef and Restaurant Books,4,0,,
Around the Georgian Table: Recipes of My Childhood,Madona Giorgadze,SMP,NO BARCODE,42.0,International & Ethnic Cookbooks,7,0,,
The Art of Arabic Coffee,Medina Ilyas,CASE,9781911487784,20.0,Beverage Books,2,0,,
The Art of the Neapolitan Pizzaiuolo from Tradition to Innovation,Paolo Masi,JDOV,9791280212214,67.95,Professional Baking and Pastry Cookbooks,10,0,,
Aubrac,Zoé de Las Cases and Cyril Attrazic,FHCT,9782017892571,85.0,Professional Chef and Restaurant Books,2,0,,
Bachour: The New Era of Viennoiserie,Antonio Bachour,ICEP Bucharest,9786069529362,98.0,Professional Baking and Pastry Cookbooks,8,0,,
Baking and the Meaning of Life: How to Find Joy in 100 Recipes,Helen Goh,ABR,9781419787621,40.0,"Home Baking & Dessert Books, Signed Books",1,0,,
The Barbuto Cookbook: California-Italian Cooking from the Beloved West Village Restaurant,Jonathan Waxman,ABR,9781419747632,40.0,Professional Chef and Restaurant Books,1,0,,
BernBaum's: Recipes from Fargo's Nordic Jewish Deli,Andrea Baumgardner,SMP,9781948340632,49.99,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Uncommon Finds",16,0,,
Between Meals: An Appetite for Paris,A.J. Liebling,FSG,9780865472365,18.0,Good Reads,2,0,,
Bocuse: Retrospective,"Jerome Bocuse, editor",FSMP,9782955956083,40.0,"Professional Chef and Restaurant Books, Limited Editions",12,0,,
Bonne Pitance: Le Guide du Boucher Cuisinier,Alexandre Czech,FSOL,9782263189272,65.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",5,0,,
"Boucherie, Leçons en Pas à Pas",Romain Leboeuf,FCHN,9782812314834,84.0,Professional Chef and Restaurant Books,2,0,,
The Brasserie Cookbook: 70 Recipes to Eat and Drink a la Francaise,Nouvelle Garde,HGUS,9781964786346,35.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",4,5,,
CHamoru Cuisine: A Marianas Cultural Legacy,Gerard and Mary Aflague,SMP,9780692126691,49.95,International & Ethnic Cookbooks,3,0,,
"The Chilean Kitchen: 75 Seasonal Recipes for Stews, Breads, Salads, Cocktails, Desserts, and More",Pilar Hernandez & Eileen Smith,SKY,9781510752856,32.99,International & Ethnic Cookbooks,1,0,,
"Classic German Baking: The Very Best Recipes for Traditional Favorites, from Pfeffernusse and Streuselkuchen",Luisa Weiss,TSP,9781607748250,35.0,Home Baking & Dessert Books,1,1,,
"Coffee Dictionary: An A-Z of Coffee, From Growing & Roasting to Brewing & Tasting",Maxwell Colonna-Dashwood,MBZ,9781840919295,22.99,Beverage Books,1,0,,
The Comic Book History of the Cocktail,David Wondrich,RDH,9781984860330,29.99,Beverage Books,9,0,,
Cookies,Christophe Felder and Camille Lesecq,FMAR,9791040121299,45.0,Home Baking & Dessert Books,3,0,,
Craquage: 60 Recettes de Pur Plaisir,Sebastien Bouillet,FMAR,9791040122999,75.0,Professional Baking and Pastry Cookbooks,4,0,,
Cuisine & Empire: Cooking in World History (Paperback),Rachel Laudan,UCAL,9780520286313,29.95,Food History and Scholarship Books,2,0,,
Cuisine d'un Cancre,Glenn Viel,FHCT,9782017201465,95.0,Professional Chef and Restaurant Books,3,0,,
Dali: Les Diners De Gala,Salvador Dali,TASC,9783836508766,60.0,Single Subject,2,0,,
"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food","Will Horowitz, Editor",SMP,9798218494527,32.0,"American Regional, Books Our Customers Love",15,0,,
"Easy Weeknight Dinners: 100 Fast, Flavor-Packed Meals for Busy People Who Still Want Something Good to Eat",Emily Weinstein and New York Times Cooking,RDH,9780593836323,35.0,"Everyday Cooking, Signed Books",27,0,Signed,
Far Afield: Rare Food Encounters from Around the World,Shane Mitchell,TSP,9781607749202,40.0,"Good Reads, International & Ethnic Cookbooks",16,0,,
Flour Water Salt Yeast,Ken Forkish,TSP,9781607742739,35.0,,1,0,,
Food52 Genius Recipes: 100 Recipes That Will Change the Way You Cook,Kristen Miglore,TSP,9781607747970,35.0,Everyday Cooking,2,0,,
Franco Pepe: Pizza Chef,Franco Pepe,PHAI,9781837290611,49.95,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",3,0,,
Good Things: Recipes and Rituals to Share with People You Love,Samin Nosrat,RDH,9781984857781,45.0,Everyday Cooking,54,0,,
Homemade Ramen,Sho Spaeth,WWN,9781324020998,35.0,"International & Ethnic Cookbooks, Books Our Customers Love",5,0,,
