ORDER VIEW,,,,,

Order #,Product,Author,QTY,Notes,Attributes
#73453,On Eating: The Making and Unmaking of My Appetites,Alicia Kennedy,1,,Preorder
#73455,Little Perfections: Eating in Singapore,Lim Tse Wei,1,,Preorder
#73460,The Irish Kitchen and The Irish Bakery Limited Edition Boxed Set,"Cherie Denham, Kitty Corrigan, and Andrew Montgomery",1,,
#73471,The Irish Kitchen,Cherie Denham and Andrew Montgomery,1,,
#73471,Atelier September: A Place for Daytime Cooking,Frederik Bille Brahe,1,,Backorder
#73472,Nile Nightshade: An Egyptian Culinary History of the Tomato,Anny Gaul,1,,
#73473,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",Brian Voll,1,,
#73473,"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",Brian Voll,1,,
#73473,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",Brian Voll,1,,
#73473,"Menu No 6: Pineapple, Parmesan, Earth, Marine, Citrus, Cardamom",Brian Voll,1,,
#73473,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",Brian Voll,1,,
#73474,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",Brian Voll,1,,
#73474,"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",Brian Voll,1,,
#73474,"Menu No 12: Watermelon, Marine, Basil, Tarragon, Mint, Peach",Brian Voll,1,,
#73474,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",Brian Voll,1,,
#73474,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",Brian Voll,1,,
#73475,The Nomad Cocktail Book,Leo Robitscheck,1,,
#73475,The Comic Book History of the Cocktail,David Wondrich,1,,
#73476,Meehan's Bartender Manual,Jim Meehan,2,,Multi-Qty
#73476,Liquid Intelligence: The Art and Science of the Perfect Cocktail,Dave Arnold,2,,"Multi-Qty, Backorder"
#73477,Kajitsu,Mika Yoshida and David G. Imber,1,,
#73478,On Eating: The Making and Unmaking of My Appetites,Alicia Kennedy,1,,Preorder
#73479,Weekend Recipes,Jess Elliott Dennison,1,,
#73480,Something from Nothing,Alison Roman,1,"This is a gift, thank you!",
#73481,"Menu No 12: Watermelon, Marine, Basil, Tarragon, Mint, Peach",Brian Voll,1,,
#73481,"Menu No 11: Duck, Orange, Cinnamon, Beets, Apple, Lime",Brian Voll,1,,
#73481,"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",Brian Voll,1,,
#73481,"Menu No 8: Shrimp, Corn, Pumpkin, Chili, Orange, Vanilla",Brian Voll,1,,
#73481,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",Brian Voll,1,,
#73482,The Sudanese Kitchen: An Introduction to Local Food and Drink,Omer Al Tijani,1,,

TOTAL QUANTITY VIEW

QTY,Product,Author
3,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",Brian Voll
2,Meehan's Bartender Manual,Jim Meehan
2,"Menu No 12: Watermelon, Marine, Basil, Tarragon, Mint, Peach",Brian Voll
2,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",Brian Voll
2,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",Brian Voll
2,"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",Brian Voll
1,The Comic Book History of the Cocktail,David Wondrich
1,The Irish Kitchen,Cherie Denham and Andrew Montgomery
1,The Irish Kitchen and The Irish Bakery Limited Edition Boxed Set,"Cherie Denham, Kitty Corrigan, and Andrew Montgomery"
1,Kajitsu,Mika Yoshida and David G. Imber
1,"Menu No 11: Duck, Orange, Cinnamon, Beets, Apple, Lime",Brian Voll
1,"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",Brian Voll
1,"Menu No 6: Pineapple, Parmesan, Earth, Marine, Citrus, Cardamom",Brian Voll
1,"Menu No 8: Shrimp, Corn, Pumpkin, Chili, Orange, Vanilla",Brian Voll
1,Nile Nightshade: An Egyptian Culinary History of the Tomato,Anny Gaul
1,The Nomad Cocktail Book,Leo Robitscheck
1,Something from Nothing,Alison Roman
1,The Sudanese Kitchen: An Introduction to Local Food and Drink,Omer Al Tijani
1,Weekend Recipes,Jess Elliott Dennison

INCOMPLETE ORDERS

Order #,Product,QTY,Reason
#73453,On Eating: The Making and Unmaking of My Appetites,1,Preorder
#73455,Little Perfections: Eating in Singapore,1,Preorder
#73471,Atelier September: A Place for Daytime Cooking,1,Backorder
#73476,Liquid Intelligence: The Art and Science of the Perfect Cocktail,2,Backorder
#73478,On Eating: The Making and Unmaking of My Appetites,1,Preorder
