Product ID,Title,Author/SKU,ISBN/Barcode,Inventory,Unfulfilled Qty,Collections,Backorder Status
gid://shopify/Product/5238799990917,Italian Liqueurs: History and Art of a Creation,Renato Vicario,9781599621616,-1,0,Beverage Books,
gid://shopify/Product/5238857662597,Sweet Slices of History: Baking and Cakes,Marjory Szurko,9781909248601,-1,0,,
gid://shopify/Product/5238900424837,Le Grand Livre De La Charcuterie,"Arnaud Nicolas, Fabien Pairon, & Christian Segui",9782841239917,-1,0,"Professional Chef and Restaurant Books, Single Subject",
gid://shopify/Product/6588612771973,Pie for Breakfast: A Baking Book for Children,Cynthia Cliff,9783791374604,-1,0,"Home Baking & Dessert Books, Kids' Books",
gid://shopify/Product/6621648519301,"Taming Fruit: How Orchards Have Transformed the Land, Offered Sanctuary, and Inspired Creativity",Bernd Brunner,9781771644075,-1,0,"Food History and Scholarship Books, Good Reads, Single Subject",
gid://shopify/Product/6675674333317,French Cooking for Beginners : 75+ Classic Recipes to Cook Like a Parisian,François de Mélogue,9781646115891,-1,0,,
gid://shopify/Product/7154358124677,Japanese Culinary Academy 5-Volume Set,Japanese Culinary Academy,JCA5VOL,-1,0,Professional Chef and Restaurant Books,
gid://shopify/Product/7195495006341,The Complete Bordeaux Vintage Guide:  From 1870 to 2024,Neal Martin,9781837834341,-1,0,,
gid://shopify/Product/7214272807045,Thessaloniki: And the Many Kitchens of Northern Greece,Meni Valle,9781761450983,-4,0,International & Ethnic Cookbooks,
gid://shopify/Product/7219824984197,OP: The Alice B. Toklas Cook Book,Alice B. Toklas,,-1,0,,
