Product ID,Title,Author/SKU,ISBN/Barcode,Inventory,Unfulfilled Qty,Collections
gid://shopify/Product/6536416231557,Plat Du Jour: French Dinners Made Easy,Susan Herrmann Loomis,9781682684504,0,2,International & Ethnic Cookbooks
gid://shopify/Product/5238759587973,La Confrerie Du Pate Croute: Les Meilleures Recettes Du Championnat Du Monde,Catherine Saunier-Talec,9782017089513,0,1,Professional Chef and Restaurant Books
gid://shopify/Product/5238796124293,Hudson Valley Charcuterie: Raven & Boar,L. Ruby Duke,9780692592434,0,1,Professional Chef and Restaurant Books
gid://shopify/Product/6846963220613,Cookbook Club: Food52 Simply Genius,Cookbook Club Fall 2023 November,,0,1,
gid://shopify/Product/6846963089541,Cookbook Club: Simply West African,Cookbook Club Fall 2023 October,,0,1,
gid://shopify/Product/6846963253381,Cookbook Club: Portico,Cookbook Club Fall 2023 December,,0,1,
gid://shopify/Product/7041418199173,Cookbook Club Tasting: Spice: A Cook’s Companion by Mark Diacono,,,0,1,
gid://shopify/Product/6882505851013,Taste the World in Marseille: Marseille Cuisine by the Marseillais,Vérane Frédiani,9781419770340,0,1,International & Ethnic Cookbooks
gid://shopify/Product/7088197632133,Cookbook Club Tasting: Simply West African,,,0,1,
gid://shopify/Product/7119692202117,The Gastronomic History of Paris: From the Middle Ages to Our Times,Patrick Rambourg,9781998365425,0,2,Food History and Scholarship Books
gid://shopify/Product/7161580060805,The Plant-Forward Handbook,"Frederic Jaunault, Luc Fontaine, and Jerome Leniaud",9782386220715,-1,1,"Professional Chef and Restaurant Books, Vegan and Vegetarian Cookbooks"
gid://shopify/Product/7023443280005,The Last Supper: How to Overcome the Future Food Crisis,Sam Kass,9780451494962,0,1,Good Reads
gid://shopify/Product/7154358124677,Japanese Culinary Academy 5-Volume Set,Japanese Culinary Academy,JCA5VOL,-1,3,Professional Chef and Restaurant Books
gid://shopify/Product/6660459102341,"The Rancho Gordo Vegetarian Kitchen Volume 1: Everyday Cooking with Heirloom Beans, Vegetables, Greens, and Grains",Steve Sando and Julia Newberry,9780692943373,0,1,Vegan and Vegetarian Cookbooks
gid://shopify/Product/5238811525253,Magazine F: Vinegar Issue 7,Magazine F Editors,MAG F 7,-1,1,Periodicals
gid://shopify/Product/6536351678597,OP: Lucky Peach Vol 21,,LUCKY 21,0,1,
gid://shopify/Product/6536351744133,OP: Lucky Peach Vol 23,Peeter Meehan and David Chang,LUCKY 23,0,1,
gid://shopify/Product/6536351711365,OP: Lucky Peach Vol 22,,LUCKY 22,0,1,
gid://shopify/Product/6621648519301,"Taming Fruit: How Orchards Have Transformed the Land, Offered Sanctuary, and Inspired Creativity",Bernd Brunner,9781771644075,-1,1,"Food History and Scholarship Books, Good Reads, Single Subject"
gid://shopify/Product/6891260412037,Nukazuke: The Japanese Art of Fermented Pickling,Nami Yamada,9784805317907,0,1,"International & Ethnic Cookbooks, Single Subject"
gid://shopify/Product/6589468967045,Kitchen Arts & Letters Gift Card,,,0,2,
gid://shopify/Product/6828182503557,Magazine F: Ramyun Issue 21,Magazine F Editors,MAG F 21,0,1,Periodicals
gid://shopify/Product/7113334915205,Olivier Nasti: Cuisinier Chasseur,Olivier Nasti,9782344064306,-2,1,Professional Chef and Restaurant Books
gid://shopify/Product/6880983679109,Noma in Kyoto,Noma,,0,1,"Periodicals, Professional Chef and Restaurant Books, Limited Editions"
gid://shopify/Product/6628131242117,Sourdough Baking: A Treatise,Thomas Teffri-Chambelland,9782957261154,-1,1,Professional Baking and Pastry Cookbooks
gid://shopify/Product/5238828302469,One Day at Geranium Restaurant,Bent Christensen,9788799562190,-3,3,"Professional Chef and Restaurant Books, Michelin Starred Restaurants"
gid://shopify/Product/5238772367493,Ekstedt: The Nordic Art of Analogue Cooking,Niklas Ekstedt,9781472961969,0,1,"Professional Chef and Restaurant Books, Michelin Starred Restaurants"
gid://shopify/Product/5238810280069,OP: Lucky Peach Vol 6,Peter Meehan and Editors,LUCKY 6,0,1,
gid://shopify/Product/5238925525125,OP: Verdura: Vegetables Italian Style,Viana La Place,,0,1,
gid://shopify/Product/7120368337029,OP: Poet of the Appetites,Joan Reardon,,0,2,
gid://shopify/Product/6621470064773,OP: The Mushroom Feast,Jane Grigson,,0,1,
gid://shopify/Product/7181081673861,OP: Stalking the Faraway Places,Euell Gibbons,,0,1,
gid://shopify/Product/5238799990917,Italian Liqueurs: History and Art of a Creation,Renato Vicario,9781599621616,0,1,Beverage Books
gid://shopify/Product/7202790178949,"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City",Katie Parla,9798986997650,-2,3,International & Ethnic Cookbooks
gid://shopify/Product/7211521081477,The Irish Kitchen and The Irish Bakery Limited Edition Boxed Set,"Cherie Denham, Kitty Corrigan, and Andrew Montgomery",,0,1,"Home Baking & Dessert Books, International & Ethnic Cookbooks"
