Product ID,Title,Author/SKU,ISBN/Barcode,Inventory,Unfulfilled Qty,Collections
gid://shopify/Product/5238735274117,OP: Art Culinaire #14,Art Culinaire,ART CU 14,0,0,
gid://shopify/Product/5238735569029,OP: Art Culinaire #85,Art Culinaire,ART CU 85,0,0,
gid://shopify/Product/5238736126085,OP: Art Culinaire #123,Art Culinaire,ART CU 123,0,0,
gid://shopify/Product/5238736191621,OP: Art Culinaire #124,Art Culinaire,ART CU 124,0,0,
gid://shopify/Product/5238736257157,OP: Art Culinaire #129,Art Culinaire,ART CU 129,0,0,
gid://shopify/Product/5238737961093,At Balthazar: The New York Brasserie at the Center of the World,Reggie Nadelson,9781501116773,0,0,
gid://shopify/Product/5238737993861,At Home in the Whole Food Kitchen: Celebrating the Art of Eating Well,Amy Chaplin,9781611800852,0,0,
gid://shopify/Product/5238738321541,Atrio,Toño Pérez & Jose Polo,9788472121744,0,0,
gid://shopify/Product/5238738976901,OP: Bachour the Baker,Antonio Bachour,9780933477537,0,0,
gid://shopify/Product/5238740910213,The Basque Book; A Love Letter in Recipes from the Kitchen of Txikito,Alexandra Raij & Eder Montero,9781607747611,0,0,
gid://shopify/Product/5238741926021,Benu,Corey Lee,9780714868868,0,0,
gid://shopify/Product/5238743728261,Bill's Quiet Revolution: A Japanese American Artisan of California Cuisine,Sam Nakahira,9780359867493,0,0,
gid://shopify/Product/5238743924869,A Bird in the Hand,Diana Henry,9781784720025,0,0,
gid://shopify/Product/5238744744069,OP: Bleu Chocolat (2 vols),Stephane Leroux,9789085867319,0,0,
gid://shopify/Product/5238745366661,"The Book of Boiled Meats Vol 3: Beef, Pork and Game",Stuart Peachey,1858041473,0,0,
gid://shopify/Product/5238745399429,The Book of Boiled Meats Vol 1: Fish,Stuart Peachey,1858041449,0,0,
gid://shopify/Product/5238745432197,The Book of Boiled Meats Vol 2: Mutton and Lamb,Stuart Peachey,1858041465,0,0,
gid://shopify/Product/5238745464965,"The Book of Boiled Meats Volume 4: Poultry and Wildfowl,",Stuart Peachey,185804149X,0,0,
gid://shopify/Product/5238745497733,The Book of Biscuits and Cakes: 1580-1660,Stuart Peachey,1858040833,0,0,
gid://shopify/Product/5238746054789,"The Book of Pies, Volume 1 Pastry and Meat Pies: 1580-1660",Stuart Peachey,1858040582,0,0,
gid://shopify/Product/5238746218629,"The Book of Roasts, 1580-1660",Stuart Peachey,1858040701,0,0,
gid://shopify/Product/5238746316933,The Book of Schmaltz: Love Song to a Forgotten Fat,Michael Ruhlman,9780316254083,0,0,
gid://shopify/Product/5238746841221,Bountiful Empire: A History of Ottoman Cuisine,Priscilla Mary Isin,9781780239040,2,0,
gid://shopify/Product/5238747496581,The Bread and Salt Between Us,Mayada Anjari with Jennifer Sit,9781891105630,0,0,
gid://shopify/Product/5238749069445,Bullipedia: What Is Cooking (Signed Edition),Ferran Adrià,9781838661861,0,0,
gid://shopify/Product/5238749266053,Burma: Rivers of Flavor,Naomi Duguid,9781579654139,2,0,
gid://shopify/Product/5238749593733,Butchering Poultry Rabbit Lamb Goat Pork: The Comprehensive Photographic Guide (Hardcover),Adam Danforth,9781612121888,3,0,
gid://shopify/Product/5238752149637,Catalan Food: Culture & Flavors from the Mediterranean,Daniel Olivella,9780451495884,0,0,
gid://shopify/Product/5238754869381,The Chile Pepper in China,Brian R. Dott,9780231195324,1,0,
gid://shopify/Product/5238755950725,Claire Heitzler Patissiere (French Language),Carole-Anne Boisseau,9782812313554,0,0,
gid://shopify/Product/5238756868229,Clémentine in the Kitchen,Samuel Chamberlain,9781567926460,4,0,
