REPORT,UNFULFILLED LINE ITEM VIEW
WINDOW_ET,2025-02-12 23:23:15 → 2026-02-12 23:23:15
GENERATED_ET,2026-02-12 23:23:22

Order,Processed At,Product,Author,Vendor,ISBN,QTY Ordered,QTY Unfulfilled,Status
#62369,2025-06-14 01:47 AM,The Plant-Forward Handbook,"Frederic Jaunault, Luc Fontaine, and Jerome Leniaud",ABR,9782386220715,1,1,backorder
#70266,2025-11-22 07:16 AM,Marine Et Vegetale,Alexandre Couillon,FSMP,9782352552680,1,1,backorder
#70697,2025-11-30 02:26 AM,Marine Et Vegetale,Alexandre Couillon,FSMP,9782352552680,1,1,backorder
#72323,2025-12-18 11:26 AM,Le Vegetal,William Ledeuil,FMAR,9782732490489,1,1,backorder
#72329,2025-12-18 11:35 AM,Crumbs: Cookies and Sweets from Around the World,Ben Mims,PHAI,9781838668860,1,1,backorder
#72545,2025-12-20 01:15 PM,Rosetta,Elena Reygadas,Rosetta,9783964360014,1,1,pending_fulfillment
#72879,2025-12-23 10:46 PM,Crumbs: Cookies and Sweets from Around the World,Ben Mims,PHAI,9781838668860,1,1,backorder
#72942,2025-12-24 04:21 PM,Kitchen Arts & Letters Gift Card,,KAL,NO BARCODE,1,1,pending_fulfillment
#73319,2026-01-01 08:17 PM,Cocinar Felicidad/Cooking Happiness,Ramon Freixa,JSPM,9788472121980,1,1,backorder
#73400,2026-01-03 03:22 PM,Cook the Mountain: The Nature Around You,Norbert Niederkofler,PRST,9783791387161,1,1,pending_fulfillment
#73492,2026-01-06 01:30 PM,Desserts,Michel Bras,FROU,9782812616655,1,1,backorder
#73662,2026-01-10 08:18 AM,Crumbs: Cookies and Sweets from Around the World,Ben Mims,PHAI,9781838668860,1,1,backorder
#73692,2026-01-10 04:04 PM,Free Food: Earth Eating,Andrew Barton,Nickel Dinner,9781736046951,1,1,backorder
#73712,2026-01-11 01:10 PM,"Boucherie, Leçons en Pas à Pas",Romain Leboeuf,FCHN,9782812314834,1,1,backorder
#73776,2026-01-13 01:38 PM,The Japanese Art of Pickling and Fermenting,Yoko Nakazawa,RDH,9781923239135,1,1,pending_fulfillment
#73826,2026-01-14 05:21 PM,"Dark Rye and Honey Cake: Festival Baking from Belgium, the Heart of the Low Countries",Regula Ysewijn,SSN,9781681888545,2,1,backorder
#73850,2026-01-15 04:10 PM,"The Complete Robuchon: French Home Cooking for the Way We Live Now, 800 Recipes",Joël Robuchon,RDH,9780307267191,1,1,backorder
#73862,2026-01-15 10:17 PM,"Pasta: The Spirit and Craft of Italy's Greatest Food, with Recipes",Missy Robbins and Talia Baiocchi,RDH,9781984857002,1,1,pending_fulfillment
#73881,2026-01-16 12:43 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73892,2026-01-16 01:35 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73893,2026-01-16 01:41 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73894,2026-01-16 01:47 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73896,2026-01-16 01:55 PM,A Taste of Madagascar: Culinary Riches of the Red Island,Emmanuel Laroche,SSN,9798895650141,1,1,pending_fulfillment
#73896,2026-01-16 01:55 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73909,2026-01-16 03:56 PM,"Charcuterie: Pâtés, Terrines, Savory Pies: Recipes and Techniques from the Ferrandi School of Culinary Arts",Ferrandi Paris,RDH,9782080294678,1,1,backorder
#73916,2026-01-16 06:23 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73917,2026-01-16 06:59 PM,A Taste of Madagascar: Culinary Riches of the Red Island,Emmanuel Laroche,SSN,9798895650141,1,1,pending_fulfillment
#73925,2026-01-16 11:27 PM,The Pie Room,Calum Franklin,BBY,9781472973610,1,1,backorder
#73926,2026-01-16 11:53 PM,"Gastronativism: Food, Identity, Politics",Fabio Parasecoli,GCOL,9780231202077,1,1,backorder
#73931,2026-01-17 09:34 AM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73988,2026-01-18 11:06 AM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#73989,2026-01-18 11:16 AM,A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,Davina Chang and Ada Deschanel,PRST,9783791391854,1,1,backorder
#73994,2026-01-18 02:08 PM,A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,Davina Chang and Ada Deschanel,PRST,9783791391854,1,1,backorder
#73995,2026-01-18 02:09 PM,We Fancy: Simple Recipes To Make The Everyday Special,Jerrelle Guy,SSN,9781668012840,1,1,backorder
#74035,2026-01-19 03:26 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74083,2026-01-20 04:40 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74095,2026-01-20 10:36 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74124,2026-01-21 10:26 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74157,2026-01-23 12:03 AM,Food on the Page: Cookbooks and American Culture,Megan J. Elias,UPNN,9780812249170,1,1,backorder
#74225,2026-01-24 02:40 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74334,2026-01-27 09:17 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74425,2026-01-30 11:23 AM,"Korean Home Cooking: 100 Authentic Everyday Recipes, From Bulgogi to Bibimbap",Jina Jung,QUAR,9781922616920,1,1,backorder
#74454,2026-01-30 10:07 PM,A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,Davina Chang and Ada Deschanel,PRST,9783791391854,1,1,backorder
#74494,2026-02-01 02:11 AM,A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,Davina Chang and Ada Deschanel,PRST,9783791391854,1,1,backorder
#74575,2026-02-03 01:14 PM,A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,Davina Chang and Ada Deschanel,PRST,9783791391854,1,1,backorder
#74575,2026-02-03 01:14 PM,We Fancy: Simple Recipes To Make The Everyday Special,Jerrelle Guy,SSN,9781668012840,1,1,backorder
#74581,2026-02-03 01:39 PM,Bittersweet: The Five Tastes of Dessert and Beyond,Thalia Ho,HAR,9780063411418,1,1,backorder
#74637,2026-02-04 01:58 PM,My Mexico : A Culinary Odyssey with Recipes,Diana Kennedy,UTEX,9781477322987,1,1,backorder
#74638,2026-02-04 01:59 PM,My Mexico : A Culinary Odyssey with Recipes,Diana Kennedy,UTEX,9781477322987,1,1,backorder
#74680,2026-02-05 06:28 PM,Sweet Portugal: The Very Best of Portuguese Desserts,Monica Pereira,Objecto Anonimo,9789898962331,1,1,backorder
#74681,2026-02-05 08:12 PM,L'Auberge De L'ill: Au Fil de L'eau,Marc Haeberlin,FMAR,9791040115489,1,1,pending_fulfillment
#74688,2026-02-06 10:06 AM,Fika: The Swedish Way,Mia Ohrn,NSMP,9789113080611,2,2,backorder
