REPORT,UNFULFILLED RISK PRODUCTS (COMMITTED MODEL)
WINDOW_UTC,2025-02-13T03:54:26.399561+00:00 → 2026-02-13T03:54:26.399561+00:00
GENERATED_UTC,2026-02-13T03:54:43.041661+00:00

Product,Vendor,Collections,Total Inventory,Committed (Canonical),Earliest Unfulfilled Order (UTC),Earliest Unfulfilled Order (ET),Latest Unfulfilled Order (UTC),Latest Unfulfilled Order (ET),Age (days),Age Bucket,Heatmap,SLA Breach,Unfulfilled Line Items (count)
The Plant-Forward Handbook,ABR,"Professional Chef and Restaurant Books, Vegan and Vegetarian Cookbooks",-1,1,2025-06-14T05:47:33+00:00,2025-06-14 01:47:33,2025-06-14T05:47:33+00:00,2025-06-14 01:47:33,243,60+,🔴,YES,1
Marine Et Vegetale,FSMP,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",-2,2,2025-11-22T12:16:22+00:00,2025-11-22 07:16:22,2025-11-30T07:26:03+00:00,2025-11-30 02:26:03,82,60+,🔴,YES,2
Le Vegetal,FMAR,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",-1,1,2025-12-18T16:26:02+00:00,2025-12-18 11:26:02,2025-12-18T16:26:02+00:00,2025-12-18 11:26:02,56,31-60,🔴,YES,1
Crumbs: Cookies and Sweets from Around the World,PHAI,Home Baking & Dessert Books,-3,3,2025-12-18T16:35:41+00:00,2025-12-18 11:35:41,2026-01-10T13:18:54+00:00,2026-01-10 08:18:54,56,31-60,🔴,YES,3
Kitchen Arts & Letters Gift Card,KAL,,0,1,2025-12-24T21:21:59+00:00,2025-12-24 16:21:59,2025-12-24T21:21:59+00:00,2025-12-24 16:21:59,50,31-60,🔴,YES,1
Cocinar Felicidad/Cooking Happiness,JSPM,Professional Chef and Restaurant Books,-1,1,2026-01-02T01:17:40+00:00,2026-01-01 20:17:40,2026-01-02T01:17:40+00:00,2026-01-01 20:17:40,42,31-60,🔴,YES,1
Cook the Mountain: The Nature Around You,PRST,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",0,1,2026-01-03T20:22:21+00:00,2026-01-03 15:22:21,2026-01-03T20:22:21+00:00,2026-01-03 15:22:21,40,31-60,🔴,YES,1
Desserts,FROU,Professional Baking and Pastry Cookbooks,-1,1,2026-01-06T18:30:49+00:00,2026-01-06 13:30:49,2026-01-06T18:30:49+00:00,2026-01-06 13:30:49,37,31-60,🔴,YES,1
Free Food: Earth Eating,Nickel Dinner,"Everyday Cooking, Good Reads",-1,1,2026-01-10T21:04:31+00:00,2026-01-10 16:04:31,2026-01-10T21:04:31+00:00,2026-01-10 16:04:31,33,31-60,🔴,YES,1
"Boucherie, Leçons en Pas à Pas",FCHN,Professional Chef and Restaurant Books,-1,1,2026-01-11T18:10:45+00:00,2026-01-11 13:10:45,2026-01-11T18:10:45+00:00,2026-01-11 13:10:45,32,31-60,🔴,YES,1
