emoji_name,location,thread_ts,message_ts,message_user
+1,parent,1711835002.105559,1711835002.105559,U02T6BBPMB4
+1,parent,1753293852.929909,1753293852.929909,U05SGLUGNJH
+1,parent,1763764060.432529,1763764060.432529,U02QXF15X27
+1,reply,1706042279.943539,1706215039.696419,U066444CRJN
+1,reply,1721494803.062839,1723048258.092899,U02Q4HK2XTR
+1,reply,1732225697.025159,1742850416.090189,U02QXF15X27
+1,reply,1740148409.830369,1740153173.427199,U02T6BBPMB4
+1,reply,1747419913.732359,1747427327.030409,U02QAB5J3L5
+1,reply,1748638605.922739,1748701946.002569,U02QAB5J3L5
+1,reply,1749045943.795719,1749846478.459009,U08V34T4KRC
+1,reply,1752163920.010919,1752164220.580259,U02QAB5J3L5
+1,reply,1753293852.929909,1753304186.746859,U05SGLUGNJH
+1,reply,1759768501.594959,1761942167.829819,U05SGLUGNJH
+1,reply,1763070358.191769,1763586872.789379,U02QAB5J3L5
+1,reply,1764008746.866759,1764215900.507939,U08V34T4KRC
+1,reply,1764865535.144359,1765040862.364369,U02QXF15X27
+1,reply,1765401056.355399,1766519210.744049,U02T6BBPMB4
+1,reply,1766439318.500989,1766441076.345199,U02QAB5J3L5
heart,parent,1762185131.663019,1762185131.663019,U02Q4HK2XTR
heart,reply,1748728332.486399,1749846101.540019,U08V34T4KRC
heart,reply,1750099591.318339,1750101317.213549,U02QAB5J3L5
heart,reply,1764865535.144359,1765154966.428989,U02QAB5J3L5
raised_hands,reply,1755876012.824199,1756572717.508639,U02T6BBPMB4
raised_hands,reply,1757093250.496029,1757435152.200989,U02QAB5J3L5
raised_hands,reply,1763479196.688749,1765040999.703609,U02QAB5J3L5
white_check_mark,parent,1645568318.277049,1645568318.277049,U02QAB5J3L5
white_check_mark,parent,1663164311.821609,1663164311.821609,U02QAB5J3L5
white_check_mark,parent,1720191237.159979,1720191237.159979,U02QAB5J3L5
white_check_mark,parent,1723324685.327659,1723324685.327659,U02T6BBPMB4
white_check_mark,parent,1725725536.490799,1725725536.490799,U02Q4HK2XTR
white_check_mark,parent,1728571080.697269,1728571080.697269,U02QAB5J3L5
white_check_mark,parent,1729087317.865929,1729087317.865929,USLACKBOT
white_check_mark,parent,1731193288.743579,1731193288.743579,U02Q4HK2XTR
white_check_mark,parent,1731360925.111159,1731360925.111159,U02Q4HK2XTR
white_check_mark,parent,1738881339.100269,1738881339.100269,U05SGLUGNJH
white_check_mark,parent,1739831445.879559,1739831445.879559,U02QXF15X27
white_check_mark,parent,1743444872.834459,1743444872.834459,U02QAB5J3L5
white_check_mark,parent,1746042475.000159,1746042475.000159,U02T6BBPMB4
white_check_mark,parent,1755534449.934639,1755534449.934639,U02QAB5J3L5
white_check_mark,parent,1761927618.815669,1761927618.815669,U02QAB5J3L5
white_check_mark,parent,1762185131.663019,1762185131.663019,U02Q4HK2XTR
white_check_mark,parent,1762291754.906469,1762291754.906469,U02T6BBPMB4
white_check_mark,parent,1764621668.819849,1764621668.819849,U05SGLUGNJH
white_check_mark,parent,1765060630.721499,1765060630.721499,U02Q4HK2XTR
white_check_mark,parent,1765401056.355399,1765401056.355399,U02QXF15X27
white_check_mark,parent,1765485326.676539,1765485326.676539,U08V34T4KRC
white_check_mark,parent,1765816929.120639,1765816929.120639,U02Q4HK2XTR
white_check_mark,parent,1766432382.925969,1766432382.925969,U02QXF15X27
white_check_mark,parent,1766506013.865469,1766506013.865469,U02QAB5J3L5
white_check_mark,parent,1766506042.900449,1766506042.900449,U02QAB5J3L5
white_check_mark,reply,1734975599.531489,1738254381.076489,U02QXF15X27
white_check_mark,reply,1750107455.051009,1761148459.997649,U02QAB5J3L5
white_check_mark,reply,1757105546.360729,1757350809.278979,U05SGLUGNJH
