thread_ts,reply_count,unique_reply_users,single_responder,multiple_responders,contains_numeric_dates,contains_keywords
1639224774.000200,0,0,false,false,false,false
1639234921.000100,0,0,false,false,false,true
1639423324.000100,0,0,false,false,false,false
1639605594.000500,0,0,false,false,false,false
1639606310.005400,0,0,false,false,false,false
1639606913.008300,0,0,false,false,true,false
1639607083.010900,0,0,false,false,false,false
1639607102.011200,0,0,false,false,false,false
1639607152.011800,0,0,false,false,false,false
1639607239.012900,0,0,false,false,false,false
1639607436.014800,0,0,false,false,false,false
1639656045.000100,0,0,false,false,false,false
1639849349.002800,0,0,false,false,false,false
1640199298.002500,1,1,true,false,false,false
1641593718.000200,0,0,false,false,false,false
1641914143.000400,0,0,false,false,false,false
1643228949.786529,1,1,true,false,true,false
1644251582.236789,0,0,false,false,false,false
1645568318.277049,1,1,true,false,true,false
1647358466.374169,0,0,false,false,false,false
1649351471.165959,0,0,false,false,false,false
1655742678.190859,0,0,false,false,false,false
1655998984.813819,0,0,false,false,false,false
1656431314.333349,0,0,false,false,false,false
1656703380.626579,0,0,false,false,false,false
1657301060.660079,2,2,false,true,false,false
1657398028.520079,0,0,false,false,false,false
1659380402.116039,0,0,false,false,false,false
1660403188.936899,0,0,false,false,false,false
1662056745.735659,0,0,false,false,false,false
1662569303.824359,0,0,false,false,false,false
1663164311.821609,0,0,false,false,false,false
1664473884.101309,0,0,false,false,false,false
1664915847.035969,0,0,false,false,false,false
1665084132.033909,0,0,false,false,false,false
1667227845.904609,0,0,false,false,false,false
1667940008.142089,1,1,true,false,false,false
1668465186.780709,0,0,false,false,false,false
1670537664.600019,1,1,true,false,false,false
1671117444.789959,0,0,false,false,false,false
1671381914.315729,0,0,false,false,false,false
1673903187.048899,0,0,false,false,false,false
1674780294.918609,0,0,false,false,false,false
1679343069.042489,0,0,false,false,false,false
1679951189.558349,0,0,false,false,false,false
1680384202.719599,0,0,false,false,false,false
1682954158.529069,0,0,false,false,false,false
1683124621.875329,0,0,false,false,false,false
1683389070.492029,0,0,false,false,false,false
1684873419.193179,0,0,false,false,false,false
1686148646.014519,0,0,false,false,false,false
1694795693.599339,0,0,false,false,false,false
1694873992.397589,0,0,false,false,false,false
1697231113.328009,0,0,false,false,false,true
1699124470.555339,1,1,true,false,true,true
1700162150.014789,0,0,false,false,false,false
1701634265.307089,1,1,true,false,true,true
1702755653.013669,0,0,false,false,false,false
1702766921.495039,1,1,true,false,false,true
1704386404.113719,0,0,false,false,false,false
1704408601.905479,0,0,false,false,false,false
1704904760.171049,0,0,false,false,false,false
1706042279.943539,3,2,false,true,false,false
1706213508.947319,0,0,false,false,false,false
1708788146.773849,0,0,false,false,false,false
1708978461.330329,1,1,true,false,true,true
1708982578.882479,1,1,true,false,true,true
1710432254.451209,0,0,false,false,false,false
1710519632.945099,0,0,false,false,false,false
1710950716.188519,0,0,false,false,false,false
1710950754.692659,3,2,false,true,false,false
1711834032.464909,0,0,false,false,false,false
1711835002.105559,1,1,true,false,true,false
1712441008.642909,0,0,false,false,false,false
1713624232.974669,3,2,false,true,true,true
1714415794.938059,0,0,false,false,true,false
1714506009.500309,0,0,false,false,false,false
1714852096.141269,0,0,false,false,false,false
1715006387.665099,1,1,true,false,true,true
1715112960.029789,0,0,false,false,false,false
1715195131.251289,0,0,false,false,false,false
1715195145.372989,1,1,true,false,true,true
1716215833.190679,1,1,true,false,false,false
1716240062.475589,0,0,false,false,true,false
1716240182.681779,0,0,false,false,false,false
1716473854.409749,1,1,true,false,true,true
1717877372.725349,1,1,true,false,true,true
1718653666.419629,1,1,true,false,false,true
1719090094.983419,0,0,false,false,false,false
1719263378.839369,0,0,false,false,false,false
1719329526.420229,0,0,false,false,false,false
1719589379.218389,1,1,true,false,false,true
1719954759.229439,0,0,false,false,false,false
1720039879.529389,0,0,false,false,false,false
1720191237.159979,0,0,false,false,false,false
1720290849.276469,0,0,false,false,false,false
1720450748.853759,1,1,true,false,true,true
1720450807.770379,1,1,true,false,true,true
1721417824.809599,5,3,false,true,true,true
1721493128.637739,0,0,false,false,false,false
1721494803.062839,2,2,false,true,false,false
1721919906.939099,0,0,false,false,false,false
1722353034.160349,1,1,true,false,true,true
1722457572.580729,1,1,true,false,false,true
1722623556.971499,1,1,true,false,true,true
1722955719.203139,1,1,true,false,true,true
1723324685.327659,0,0,false,false,false,false
1723559450.719419,1,1,true,false,true,true
1723654469.481839,0,0,false,false,false,false
1724177181.770569,1,1,true,false,true,true
1724422132.831359,0,0,false,false,false,false
1724508692.684029,0,0,false,false,false,false
1724686691.501389,1,1,true,false,true,true
1724692548.363269,1,1,true,false,true,true
1725725536.490799,0,0,false,false,true,false
1727100898.185809,1,1,true,false,true,true
1727443749.184069,0,0,false,false,false,false
1727558542.277519,1,1,true,false,true,true
1727730247.702229,1,1,true,false,true,true
1728571080.697269,0,0,false,false,false,false
1728669002.740889,1,1,true,false,true,true
1729025027.070729,0,0,false,false,false,false
1729087317.865929,1,1,true,false,false,false
1729353241.214409,1,1,true,false,true,true
1729357733.160809,0,0,false,false,false,false
1729536050.637689,1,1,true,false,true,true
1730758818.045779,0,0,false,false,false,false
1731001229.108669,0,0,false,false,false,false
1731193288.743579,0,0,false,false,false,false
1731357765.062249,1,1,true,false,true,true
1731360925.111159,0,0,false,false,false,false
1731606118.698369,0,0,false,false,false,false
1731772959.721089,2,1,true,false,true,true
1731777718.837609,1,1,true,false,true,true
1731781541.529499,1,1,true,false,true,true
1731951475.876519,0,0,false,false,false,false
1732225697.025159,2,2,false,true,false,true
1732547785.872029,0,0,false,false,false,false
1732636848.506999,1,1,true,false,true,true
1733155550.902689,1,1,true,false,true,true
1733427271.444329,1,1,true,false,true,true
1733501585.601969,0,0,false,false,false,false
1733510704.439859,0,0,false,false,false,false
1733611613.809219,1,1,true,false,true,false
1733686421.319879,1,1,true,false,true,false
1733757577.870249,1,1,true,false,true,true
1733757945.308059,0,0,false,false,true,false
1733860515.930939,1,1,true,false,true,true
1733928985.705779,1,1,true,false,true,false
1734035110.156249,1,1,true,false,true,true
1734122921.740019,0,0,false,false,false,false
1734215488.805409,0,0,false,false,false,false
1734382329.434989,1,1,true,false,true,false
1734625857.388339,1,1,true,false,false,true
1734644708.805149,0,0,false,false,false,false
1734720353.858499,0,0,false,false,false,false
1734734040.967189,1,1,true,false,true,true
1734794650.485339,0,0,false,false,false,false
1734795974.781349,1,1,true,false,false,true
1734975599.531489,1,1,true,false,true,true
1736179195.582869,1,1,true,false,true,true
1736349671.967329,0,0,false,false,false,false
1736454503.546059,4,3,false,true,true,true
1736610303.635779,1,1,true,false,true,false
1736611477.069059,0,0,false,false,false,false
1736788369.934839,1,1,true,false,true,true
1736955970.445009,1,1,true,false,true,true
1737584179.709399,0,0,false,false,false,false
1737999287.927689,0,0,false,false,false,false
1738010148.848359,0,0,false,false,false,false
1738345072.262629,0,0,false,false,false,false
1738436655.735779,0,0,false,false,false,false
1738881339.100269,0,0,false,false,false,false
1738939839.810639,1,1,true,false,true,true
1738957495.556679,1,1,true,false,true,true
1739472938.002709,1,1,true,false,true,false
1739831445.879559,0,0,false,false,false,false
1740148409.830369,1,1,true,false,false,false
1740258999.523629,1,1,true,false,true,true
