thread_ts,parent_ts,parent_user,parent_text_length,reply_count,has_replies,parent_has_reactions,reply_has_reactions,first_reply_ts,last_reply_ts,thread_age_days
1639224774.000200,1639224774.000200,U02QAB5J3L5,37,0,false,false,false,,,1487.40
1639234921.000100,1639234921.000100,U02QAB5J3L5,231,0,false,false,false,,,1487.28
1639423324.000100,1639423324.000100,U02Q4HK2XTR,37,0,false,false,false,,,1485.10
1639605594.000500,1639605594.000500,U02QXF15X27,37,0,false,false,false,,,1482.99
1639606310.005400,1639606310.005400,U02QAB5J3L5,90,0,false,false,false,,,1482.98
1639606913.008300,1639606913.008300,U02QAB5J3L5,140,0,false,false,false,,,1482.97
1639607083.010900,1639607083.010900,U02QAB5J3L5,91,0,false,false,false,,,1482.97
1639607102.011200,1639607102.011200,U02QAB5J3L5,38,0,false,false,false,,,1482.97
1639607152.011800,1639607152.011800,U02QAB5J3L5,164,0,false,false,false,,,1482.97
1639607239.012900,1639607239.012900,U02QAB5J3L5,56,0,false,false,false,,,1482.97
1639607436.014800,1639607436.014800,U02QAB5J3L5,89,0,false,false,false,,,1482.97
1639656045.000100,1639656045.000100,U02QXFAV1DH,37,0,false,false,false,,,1482.41
1639849349.002800,1639849349.002800,U02QAB5J3L5,101,0,false,false,false,,,1480.17
1640199298.002500,1640199298.002500,U02QXF15X27,82,1,true,false,false,1640281473.001100,1640281473.001100,1476.12
1641593718.000200,1641593718.000200,U02T6BBPMB4,37,0,false,false,false,,,1459.98
1641914143.000400,1641914143.000400,U02QAB5J3L5,302,0,false,false,false,,,1456.27
1643228949.786529,1643228949.786529,USLACKBOT,25,1,true,false,false,1643322971.654189,1643322971.654189,1441.05
1644251582.236789,1644251582.236789,U02Q4HK2XTR,27,0,false,false,false,,,1429.22
1645568318.277049,1645568318.277049,U02QAB5J3L5,188,1,true,true,false,1646077303.695329,1646077303.695329,1413.98
1647358466.374169,1647358466.374169,U02QAB5J3L5,64,0,false,false,false,,,1393.26
1649351471.165959,1649351471.165959,U02QXF15X27,180,0,false,false,false,,,1370.19
1655742678.190859,1655742678.190859,U02QAB5J3L5,65,0,false,false,false,,,1296.22
1655998984.813819,1655998984.813819,U02QAB5J3L5,167,0,false,false,false,,,1293.25
1656431314.333349,1656431314.333349,U02Q4HK2XTR,176,0,false,false,false,,,1288.25
1656703380.626579,1656703380.626579,U02QAB5J3L5,64,0,false,false,false,,,1285.10
1657301060.660079,1657301060.660079,U02QXF15X27,179,2,true,false,false,1657312807.063239,1657312837.247709,1278.18
1657398028.520079,1657398028.520079,U02QXF15X27,94,0,false,false,false,,,1277.06
1659380402.116039,1659380402.116039,U02QXF15X27,259,0,false,false,false,,,1254.11
1660403188.936899,1660403188.936899,U03TG4ZRFEZ,37,0,false,false,false,,,1242.28
1662056745.735659,1662056745.735659,U02T6BBPMB4,158,0,false,false,false,,,1223.14
1662569303.824359,1662569303.824359,U02QAB5J3L5,81,0,false,false,false,,,1217.21
1663164311.821609,1663164311.821609,U02QAB5J3L5,138,0,false,true,false,,,1210.32
1664473884.101309,1664473884.101309,U02QAB5J3L5,91,0,false,false,false,,,1195.16
1664915847.035969,1664915847.035969,U02Q4HK2XTR,196,0,false,false,false,,,1190.05
1665084132.033909,1665084132.033909,U02QAB5J3L5,85,0,false,false,false,,,1188.10
1667227845.904609,1667227845.904609,U02Q4HK2XTR,96,0,false,false,false,,,1163.29
1667940008.142089,1667940008.142089,U02Q4HK2XTR,110,1,true,false,false,1668290773.393799,1668290773.393799,1155.04
1668465186.780709,1668465186.780709,U02Q4HK2XTR,145,0,false,false,false,,,1148.97
1670537664.600019,1670537664.600019,USLACKBOT,25,1,true,false,false,1670636354.040409,1670636354.040409,1124.98
1671117444.789959,1671117444.789959,U02QAB5J3L5,96,0,false,false,false,,,1118.27
1671381914.315729,1671381914.315729,U02Q4HK2XTR,141,0,false,false,false,,,1115.21
1673903187.048899,1673903187.048899,U02QAB5J3L5,78,0,false,false,false,,,1086.03
1674780294.918609,1674780294.918609,U02QAB5J3L5,170,0,false,false,false,,,1075.87
1679343069.042489,1679343069.042489,U02QAB5J3L5,70,0,false,false,false,,,1023.06
1679951189.558349,1679951189.558349,U02Q4HK2XTR,70,0,false,false,false,,,1016.03
1680384202.719599,1680384202.719599,U02T6BBPMB4,211,0,false,false,false,,,1011.01
1682954158.529069,1682954158.529069,U02Q4HK2XTR,125,0,false,false,false,,,981.27
1683124621.875329,1683124621.875329,U02QXF15X27,92,0,false,false,false,,,979.30
1683389070.492029,1683389070.492029,U02QXF15X27,85,0,false,false,false,,,976.24
1684873419.193179,1684873419.193179,U02QAB5J3L5,60,0,false,false,false,,,959.06
1686148646.014519,1686148646.014519,U02QXF15X27,90,0,false,false,false,,,944.30
1694795693.599339,1694795693.599339,U05SGLUGNJH,37,0,false,false,false,,,844.22
1694873992.397589,1694873992.397589,U02Q4HK2XTR,160,0,false,false,false,,,843.31
1697231113.328009,1697231113.328009,U02QXF15X27,217,0,false,false,false,,,816.03
1699124470.555339,1699124470.555339,U02QXF15X27,70,1,true,false,false,1708102305.587229,1708102305.587229,794.11
1700162150.014789,1700162150.014789,U066444CRJN,37,0,false,false,false,,,782.10
1701634265.307089,1701634265.307089,U02QXF15X27,261,1,true,false,false,1745597200.171619,1745597200.171619,765.07
1702755653.013669,1702755653.013669,U02Q4HK2XTR,156,0,false,false,false,,,752.09
1702766921.495039,1702766921.495039,U02QXF15X27,117,1,true,false,false,1703948925.269099,1703948925.269099,751.96
1704386404.113719,1704386404.113719,U02QXF15X27,54,0,false,false,false,,,733.21
1704408601.905479,1704408601.905479,U02T6BBPMB4,98,0,false,false,false,,,732.95
1704904760.171049,1704904760.171049,U02QXF15X27,130,0,false,false,false,,,727.21
1706042279.943539,1706042279.943539,U066444CRJN,149,3,true,false,true,1706213739.021839,1706215045.273449,714.05
1706213508.947319,1706213508.947319,U02QXF15X27,144,0,false,false,false,,,712.06
1708788146.773849,1708788146.773849,U02Q4HK2XTR,95,0,false,false,false,,,682.27
1708978461.330329,1708978461.330329,U02Q4HK2XTR,138,1,true,false,false,1725028002.497579,1725028002.497579,680.06
1708982578.882479,1708982578.882479,U02Q4HK2XTR,163,1,true,false,false,1725028108.967449,1725028108.967449,680.02
1710432254.451209,1710432254.451209,U02QXF15X27,123,0,false,false,false,,,663.24
1710519632.945099,1710519632.945099,U02T6BBPMB4,126,0,false,false,false,,,662.23
1710950716.188519,1710950716.188519,U066444CRJN,112,0,false,false,false,,,657.24
1710950754.692659,1710950754.692659,U066444CRJN,59,3,true,false,false,1712697492.855879,1712698085.528409,657.24
1711834032.464909,1711834032.464909,U02T6BBPMB4,71,0,false,false,false,,,647.01
1711835002.105559,1711835002.105559,U02T6BBPMB4,312,1,true,true,false,1711971373.526379,1711971373.526379,647.00
1712441008.642909,1712441008.642909,U02T6BBPMB4,138,0,false,false,false,,,639.99
1713624232.974669,1713624232.974669,U02Q4HK2XTR,65,3,true,false,false,1713795848.151729,1735319434.026129,626.29
1714415794.938059,1714415794.938059,U02QXFAV1DH,145,0,false,false,false,,,617.13
1714506009.500309,1714506009.500309,U02QXFAV1DH,143,0,false,false,false,,,616.09
1714852096.141269,1714852096.141269,U02Q4HK2XTR,134,0,false,false,false,,,612.08
1715006387.665099,1715006387.665099,U02Q4HK2XTR,94,1,true,false,false,1735410972.929399,1735410972.929399,610.30
1715112960.029789,1715112960.029789,U02QAB5J3L5,136,0,false,false,false,,,609.06
1715195131.251289,1715195131.251289,U02QAB5J3L5,124,0,false,false,false,,,608.11
1715195145.372989,1715195145.372989,U02QAB5J3L5,51,1,true,false,false,1765390051.788649,1765390051.788649,608.11
1716215833.190679,1716215833.190679,U02Q4HK2XTR,182,1,true,false,false,1718202726.139269,1718202726.139269,596.30
1716240062.475589,1716240062.475589,U02QXFAV1DH,88,0,false,false,false,,,596.02
1716240182.681779,1716240182.681779,U02QXFAV1DH,109,0,false,false,false,,,596.02
1716473854.409749,1716473854.409749,U02QAB5J3L5,64,1,true,false,false,1735319494.702439,1735319494.702439,593.31
